keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_FANTASY_CURSE_ALL_ON_REROLL_CURSED,"Curse all items in the shop the next reroll,return to the uncursed state rather than the used state","Maudit tous les objets de la boutique à la prochaine actualisation, revient à l'état non maudit plutôt qu'à l'état utilisé","下一次刷新诅咒商店里的所有物品,变回未诅咒状态而非已使用状态","次の再抽選で店内の全アイテムを呪い,使用済み状態ではなく通常状態に戻す","다음 재굴림 시 상점의 모든 아이템을 저주하고, 사용됨 상태 대신 저주받지 않은 상태로 되돌립니다","下一次刷新詛咒商店裡的所有物品,變回未詛咒狀態而非已使用狀態","Проклинает все предметы в магазине при следующем обновлении, возвращается в непроклятое состояние вместо использованного","Przeklnij wszystkie przedmioty w sklepie przy następnym przerzucie, wróć do stanu nieprzeklętego zamiast zużytego","Maldecir todos los objetos de la tienda en la siguiente tirada, vuelve al estado no maldito en lugar del estado usado","Amaldiçoar todos os itens da loja na próxima rolagem, retorna ao estado não amaldiçoado em vez do estado usado","Verfluche alle Gegenstände im Laden beim nächsten Neuwurf, kehrt in den unverfluchten Zustand statt in den benutzten Zustand zurück","Bir sonraki yenilemede dükkandaki tüm eşyaları lanetle, kullanılmış durumu yerine lanetlenmemiş duruma dön","Maledici tutti gli oggetti nel negozio al prossimo rinnovo, torna allo stato non maledetto invece che a quello usato"
EFFECT_FANTASY_EXTRA_CURSE_ENEMY,"Enemies have an additional {0} chance to be cursed (include elites and bosses)
{1}","Les ennemis ont {0} de chances supplémentaires d'être maudits (inclut les élites et les boss)
{1}","敌人有额外{0}概率被诅咒 (包括精英和头目)
{1}","敵が呪われる確率が追加で{0}%上昇 (エリートとボスを含む)
{1}","적이 저주받을 추가 확률 {0} (엘리트 및 보스 포함)
{1}","敵人有額外{0}機率被詛咒 (包括菁英和頭目)
{1}","Враги имеют дополнительный {0} шанс быть проклятыми (включая элиту и боссов)
{1}","Wrogowie mają dodatkowe {0} szans na bycie przeklętymi (w tym elity i bossowie)
{1}","Los enemigos tienen una probabilidad adicional del {0} de ser maldecidos  (incluye élites y jefes)
{1}","Inimigos têm {0} de chance adicional de serem amaldiçoados (inclui elites e chefes)
{1}","Gegner haben eine zusätzliche {0}-Chance, verflucht zu werden (einschließlich Eliten und Bosse)
{1}","Düşmanların lanetlenme şansı ek olarak {0} (elitler ve bosslar dahil)
{1}","I nemici hanno un'ulteriore probabilità del {0} di essere maledetti (inclusi élite e boss)
{1}"
ITEM_FANTASY_DEMON_HUNTER_BLADE,Demon Hunter Blade,Lame de chasseur de démons,猎魔之刃,悪魔狩りの刃,데몬 헌터 블레이드,獵魔之刃,Клинок охотника на демонов,Ostrze łowcy demonów,Hoja de cazador de demonios,Lâmina de caçador de demônios,Dämonenjägerklinge,Şeytan Avcısı Bıçağı,Lama del cacciatore di demoni
TRACKING_DAMAGE_REDUCED,Damage Reduced: {0},Dégâts réduits : {0},已减免伤害: {0},被ダメージ軽減: {0},피해 감소: {0},已減免傷害:{0},Снижение урона: {0},Zmniejszenie obrażeń: {0},Daño reducido: {0},Dano reduzido: {0},Schadensreduzierung: {0},Azaltılan Hasar: {0},Danno ridotto: {0}
ITEM_FANTASY_DOG_COIN,Dog Coin,Pièce de chien,狗狗金币,犬のコイン,강아지 동전,狗狗金幣,Собачья монета,Psia moneta,Moneda de perro,Moeda de cachorro,Hundemünze,Köpek Parası,Moneta del cane
EFFECT_FANTASY_CRIT_OVERFLOW,"For every {2} overflow, increase {0} critical damage","Pour chaque {2} de débordement, augmente les dégâts critiques de {0}",每溢出{2}暴击率增加{0}暴击伤害,{2}超過ごとにクリティカルダメージが{0}増加,{2} 초과할 때마다 {0} 치명타 피해 증가,每溢出{2}暴擊率增加{0}暴擊傷害,За каждые {2} превышения увеличивает {0} критического урона,"Za każde {2} nadmiaru, zwiększa {0} obrażeń krytycznych","Por cada {2} de desbordamiento, aumenta {0} el daño crítico","Para cada {2} de excesso, aumenta {0} de dano crítico",Für jeden {2} Überlauf wird der kritische Schaden um {0} erhöht,Her {2} taşma için kritik hasarı {0} artır,"Per ogni {2} di eccesso, aumenta il danno critico di {0}"
ITEM_FANTASY_DWARVEN_SCOPE,Dwarven Scope,Lunette naine,矮人瞄准镜,ドワーフのスコープ,드워프 조준경,矮人瞄準鏡,Дварфийский прицел,Krasnoludzki celownik,Mira enana,Mira anã,Zwergen-Zielfernrohr,Cüce Dürbün,Cannocchiale nanico
ITEM_FANTASY_EGYPTIAN_CAT,Egyptian Cat,Chat égyptien,埃及猫,エジプシャンキャット,이집트 고양이,埃及貓,Египетская кошка,Kot egipski,Gato egipcio,Gato egípcio,Ägyptische Katze,Mısır Kedisi,Gatto egiziano
FANTASY_EGYPTIAN_CAT_NAME,Egyptian Cat,Chat égyptien,埃及猫,エジプシャンキャット,이집트 고양이,埃及貓,Египетская кошка,Kot egipski,Gato egipcio,Gato egípcio,Ägyptische Katze,Mısır Kedisi,Gatto egiziano
EFFECT_FANTASY_PET_EGYPTIAN_CAT,"Summons an Egyptian cat that chases enemies within range of {1}, firing three spikes every {0} seconds and dealing {2}({3}) damage.","Invoque un chat égyptien qui poursuit les ennemis dans un rayon de {1}, tirant trois piques toutes les {0} secondes et infligeant {2}({3}) dégâts.","召唤一只埃及猫追击范围{1}内的敌人,每{0}秒发射三枚尖刺攻击,造成{2}({3})伤害","範囲{1}内の敵を追跡するエジプシャンキャットを召喚.{0}秒ごとに3本のスパイクを発射し,{2}({3})ダメージを与える.",범위 {1} 내의 적을 추적하는 이집트 고양이를 소환합니다. {0}초마다 세 개의 가시를 발사하여 {2}({3}) 피해를 줍니다.,"召喚一隻埃及貓追擊範圍{1}內的敵人,每{0}秒發射三枚尖刺攻擊,造成{2}({3})傷害","Призывает египетскую кошку, которая преследует врагов в радиусе {1}, каждые {0} секунд выпуская три шипа и нанося {2}({3}) урона.","Przywołuje egipskiego kota, który goni wrogów w zasięgu {1}, co {0} sekund wystrzeliwując trzy kolce i zadając {2}({3}) obrażeń.","Invoca un gato egipcio que persigue a los enemigos en un rango de {1}, disparando tres púas cada {0} segundos e infligiendo {2}({3}) de daño.","Invoca um gato egípcio que persegue inimigos em um raio de {1}, disparando três espinhos a cada {0} segundos e causando {2}({3}) de dano.","Beschwört eine ägyptische Katze, die Gegner in Reichweite von {1} jagt, alle {0} Sekunden drei Stacheln feuert und {2}({3}) Schaden verursacht.","{1} menzilindeki düşmanları kovalayan bir Mısır kedisi çağırır, her {0} saniyede üç diken atar ve {2}({3}) hasar verir.","Evoca un gatto egiziano che insegue i nemici entro un raggio di {1}, sparando tre spuntoni ogni {0} secondi e infliggendo {2}({3}) danni."
ITEM_FANTASY_PIXIE,Pixie,Pixie,小妖精,ピクシー,요정,小妖精,Пикси,Pixie,Pixie,Pixie,Pixie,Pixie,Pixie
ITEM_FANTASY_GAUNTLET,Gauntlet,Gantelet,护手,ガントレット,건틀릿,護手,Перчатка,Rękawica,Guantelete,Manopla,Panzerhandschuh,Eldiven,Guanto d'arme
ITEM_FANTASY_IRON_RING,Iron Ring,Anneau de fer,铁戒指,鉄の指輪,철 반지,鐵戒指,Железное кольцо,Żelazny pierścień,Anillo de hierro,Anel de ferro,Eisenring,Demir Yüzük,Anello di ferro
ITEM_FANTASY_WORLD_TREE_SEED,World Tree Seed,Graine d'arbre-monde,世界树种子,世界樹の種,세계수 씨앗,世界樹種子,Семя Мирового Древа,Nasiono Drzewa Świata,Semilla del Árbol del Mundo,Semente da Árvore do Mundo, Weltenbaumsamen,Dünya Ağacı Tohumu,Seme dell'Albero del Mondo
ITEM_FANTASY_GINKGO_LEAF,Ginkgo Leaf,Feuille de ginkgo,银杏叶,銀杏の葉,은행잎,銀杏葉,Лист гинкго,Liść miłorzębu,Hoja de ginkgo,Folha de ginkgo,Ginkgoblatt,Ginkgo Yaprağı,Foglia di ginkgo
ITEM_FANTASY_SHOULDER_ARMOR,Shoulder Armor,Armure d'épaule,肩甲,肩甲,어깨 갑옷,肩甲,Наплечник,Naramiennik,Hombrera,Ombreira,Schulterpanzer,Omuz Zırhı,Spallaccio
ITEM_FANTASY_KNEE_PAD,Knee Pad,Genouillère,护膝,膝当て,무릎 보호대,護膝,Наколенник,Nakolannik,Rodillera,Joelheira,Knieschützer,Dizlik,Ginocchiera
TRACKING_RELOAD,Reloaded: {0},Rechargé : {0},已重置: {0},リロード済: {0},재장전됨: {0},已重置:{0},Перезаряжено: {0},Przeładowano: {0},Recargado: {0},Recarregado: {0},Nachgeladen: {0},Yeniden yüklendi: {0},Ricaricato: {0}
EFFECT_FANTASY_RANDOM_RELOAD_WHEN_PICKUP_GOLD,"When picking up materials, {0} chance to randomly reset one weapon's cooldown
{1}","En ramassant des matériaux, {0} de chance de réinitialiser aléatoirement le temps de recharge d'une arme
{1}","拾起材料时,{0}概率随机重置一把武器的冷却
{1}","素材を拾得時,{0}%の確率でいずれかの武器のクールダウンがランダムにリセットされる
{1}","재료를 획득할 시, {0} 확률로 무기 하나의 재사용 대기 시간을 무작위로 초기화합니다
{1}","拾起材料時,{0}機率隨機重置一把武器的冷卻
{1}","При подборе материалов, {0} шанс случайно сбросить перезарядку одного оружия
{1}","Podnosząc materiały, {0} szans na losowe zresetowanie czasu odnowienia jednej broni
{1}","Al recoger materiales, {0} de probabilidad de reiniciar aleatoriamente el enfriamiento de un arma
{1}","Ao coletar materiais, {0} de chance de redefinir aleatoriamente o tempo de recarga de uma arma
{1}","Beim Aufsammeln von Materialien besteht eine {0}-Chance, die Abklingzeit einer Waffe zufällig zurückzusetzen
{1}","Malzeme toplarken, rastgele bir silahın bekleme süresini sıfırlama şansı {0}
{1}","Quando raccogli materiali, {0} di probabilità di azzerare casualmente la ricarica di un'arma
{1}"
ITEM_FANTASY_SCABBARD,Scabbard,Fourreau,剑鞘,鞘,칼집,劍鞘,Ножны,Pochwa,Vaina de espada,Bainha de espada,Schwertscheide,Kın,Fodero
ITEM_FANTASY_NIGHTINGALE,Nightingale,Rossignol,夜莺,ナイチンゲール,나이팅게일,夜鶯,Соловей,Słowik,Ruiseñor,Rouxinol,Nachtigall,Bülbül,Usignolo
FANTASY_NIGHTINGALE_NAME,Nightingale,Rossignol,夜莺,ナイチンゲール,나이팅게일,夜鶯,Соловей,Słowik,Ruiseñor,Rouxinol,Nachtigall,Bülbül,Usignolo
EFFECT_FANTASY_PET_NIGHTINGALE,"Summons a nightingale orbiting around you, healing players within a range of {1} for {2} ({3}) HP every {0} seconds","Invoque un rossignol qui orbite autour de vous, soignant les joueurs dans un rayon de {1} de {2} ({3}) PV toutes les {0} secondes","召唤一只夜莺环绕在你身边,每{0}秒为范围{1}内的玩家恢复{2}({3})生命值","ナイチンゲールを召喚して周囲を旋回させ,{0}秒ごとに範囲{1}内のプレイヤーを{2}({3})回復する",주변을 맴도는 나이팅게일을 소환합니다. {0}초마다 범위 {1} 내의 플레이어를 {2}({3}) 회복합니다,"召喚一隻夜鶯環繞在你身邊,每{0}秒為範圍{1}內的玩家恢復{2}({3})生命值","Призывает соловья, кружащего вокруг вас, исцеляющего игроков в радиусе {1} на {2} ({3}) ОЗ каждые {0} секунд","Przywołuje słowika krążącego wokół ciebie, leczącego graczy w zasięgu {1} o {2} ({3}) PŻ co {0} sekund","Invoca un ruiseñor que orbita a tu alrededor, curando a los jugadores dentro de un rango de {1} por {2} ({3}) de Vida cada {0} segundos","Invoca um rouxinol que orbita ao seu redor, curando jogadores em um raio de {1} em {2} ({3}) PV a cada {0} segundos","Beschwört eine Nachtigall, die dich umkreist und Spieler in Reichweite von {1} alle {0} Sekunden um {2} ({3}) LP heilt","Etrafında dönen bir bülbül çağırır, her {0} saniyede bir {1} menzilindeki oyuncuları {2} ({3}) can iyileştirir","Evoca un usignolo che ti orbita intorno, curando i giocatori entro un raggio di {1} per {2} ({3}) PV ogni {0} secondi"
ITEM_FANTASY_ROTTEN_PLANT,Rotten Plant,Plante pourrie,腐烂的植物,腐った植物,썩은 식물,腐爛的植物,Гнилое растение,Zgniła roślina,Planta podrida,Planta podre,Verfaulte Pflanze,Çürümüş Bitki,Pianta marcia
ITEM_FANTASY_RUSTY_ARROW,Rusty Arrow,Flèche rouillée,生锈的箭头,錆びた矢,녹슨 화살,生鏽的箭頭,Ржавая стрела,Zardzewiała strzała,Flecha oxidada,Flecha enferrujada,Rostiger Pfeil,Paslı Ok,Freccia arrugginita
ITEM_FANTASY_NUCLEAR_DRUM,Nuclear Drum,Fût nucléaire,核废料桶,核廃棄物ドラム缶,핵폐기물 드럼,核廢料桶,Ядерный барабан,Bęben nuklearny,Barril nuclear,Tambor nuclear,Atommüllfass,Nükleer Varil,Fusto nucleare
EFFECT_FANTASY_EROSION,Attacks have a {0} chance to deal {1} erosion damage.,Les attaques ont {0} de chance d'infliger {1} dégâts d'érosion.,攻击有{0}概率造成{1}的侵蚀伤害,攻撃に{0}%の確率で{1}の侵食ダメージが発生する.,공격 시 {0} 확률로 {1} 침식 피해를 줍니다.,攻擊有{0}機率造成{1}的侵蝕傷害,Атаки имеют шанс {0} нанести {1} урона эрозией.,Ataki mają {0} szans na zadanie {1} obrażeń od erozji.,Los ataques tienen una probabilidad del {0} de infligir {1} de daño por erosión.,Ataques têm {0} de chance de causar {1} de dano de erosão.,"Angriffe haben eine {0}-Chance, {1} Erosionsschaden zu verursachen.",Saldırıların {1} erozyon hasarı verme şansı {0}.,Gli attacchi hanno una probabilità del {0} di infliggere {1} danni da erosione.
EFFECT_FANTASY_EROSION_CAN_CRIT,Erosion damage can crit,Les dégâts d'érosion peuvent être critiques,侵蚀伤害可以暴击,侵食ダメージはクリティカルが発生する,침식 피해는 치명타가 발생할 수 있습니다,侵蝕傷害可以暴擊,Урон эрозией может быть критическим,Obrażenia od erozji mogą być krytyczne,El daño por erosión puede ser crítico,Dano de erosão pode acertar crítico,Erosionsschaden kann kritisieren,Erozyon hasarı kritik vurabilir,I danni da erosione possono essere critici
EFFECT_FANTASY_EROSION_SPEED,{0} Erosion speed,{0} Vitesse d'érosion,{0}侵蚀速度,{0} 侵食速度,{0} 침식 속도,{0}侵蝕速度,{0} Скорость эрозии,{0} Szybkość erozji,{0} Velocidad de erosión,{0} Velocidade de erosão,{0} Erosionsgeschwindigkeit,{0} Erozyon hızı,{0} Velocità di erosione
ITEM_FANTASY_OVERGROWTH,Overgrowth,Croissance excessive,过度生长,過成長,과잉 성장,過度生長,Разрастание,Przerost,Supercrecimiento,Crescimento excessivo,Überwucherung,Aşırı Büyüme,Sovracrescita
ITEM_FANTASY_FORBIDDEN_SPELL,Forbidden Spell,Sort interdit,禁咒,禁呪,금단의 주문,禁咒,Запретное заклинание,Zakazane zaklęcie,Hechizo prohibido,Feitiço proibido,Verbotener Zauber,Yasaklı Büyü,Incantesimo proibito
ITEM_FANTASY_PROMOTION_LETTER,Promotion Letter,Lettre de promotion,晋升文书,昇進書状,승진 서한,晉升文書,Письмо о повышении,List promocyjny,Carta de promoción,Carta de promoção,Beförderungsschreiben,Terfi Mektubu,Lettera di promozione
EFFECT_FANTASY_EXTRA_ELITES_NEXT_WAVE,"When the next wave begins, spawn {0} extra elite enemy","Au début de la prochaine vague, fait apparaître {0} ennemi d'élite supplémentaire","下一波敌袭开始时,额外生成{0}只精英怪","次のウェーブ開始時,エリート敵が追加で{0}体出現する","다음 웨이브 시작 시, 추가로 엘리트 적을 {0}마리 생성합니다","下一波敵襲開始時,額外生成{0}隻菁英怪",В начале следующей волны появляется дополнительно {0} элитных врагов,"Gdy zaczyna się następna fala, pojawia się {0} dodatkowych elitarnych wrogów","Cuando comience la siguiente oleada, aparecen {0} enemigos de élite extra","Quando a próxima onda começar, gera {0} inimigo de elite extra",Zu Beginn der nächsten Welle erscheinen {0} zusätzliche Elitegegner,Bir sonraki dalga başladığında fazladan {0} elit düşman ortaya çıkar,"All'inizio della prossima ondata, genera {0} nemici d'élite extra"
